OV
111.2886
201.5617
111.941
182.3914
196.2703
240.5799
105.9398
169.5418
194.1514
232.5771
100.5687
158.2934
196.3126
243.7557
94.3888
137.2937
189.8701
94.09462
186.4474
232.1625
133.4855
207.5028
117.0619
217.3161
272.5857
190.9167
280.3624
225.259
233.511
180.2243
321.4488
135.9227
266.6867
240.5473
173.9206
312.0689
221.9035
253.2307
323.5988
224.1326
169.4025
304.541
259.2651
222.8471
158.8441
313.6447
257.7729
151.5869
248.9933
153.3917
272.8006
225.9206
303.3032
207.273
277.8576
201.7625
291.5148
196.5303
287.6494
211.1296
291.0741
193.7672
285.8538
204.518
285.8771
205.5782
308.5785
202.1717
303.9817
203.2131
289.9175
201.506
286.0233
196.8971
305.7746
232.7684
203.9941
214.6538
189.105
198.9122
179.1992
176.8342
194.946
174.6306
183.8441
180.1078
175.0116
218.7814
109.0514
179.3431
181.5377
219.141
198.3972
152.5162
104.1316
213.5213
185.2549
136.9654
202.8555
107.0815
177.4766
129.6091
194.8629
99.30078
122.0781
193.5967
194.5288
94.99309
115.4823
177.8019
205.1418
205.5169
190.7906
178.9252
182.6291
166.4556
176.821
163.2962
157.5448
164.9768
154.6759
163.6497
146.4859
150.0294
163.1589
115.1938
148.1707
109.1583
157.4366
114.8404
145.5837
174.0773
103.276
161.3389
143.6423
100.9004
164.8375
117.3518
136.4626
143.6332
97.7155
147.0397
166.4868
146.4268
114.6659
95.1453
124.3659
133.1896
157.1531
166.1256
211.099
185.9281
191.0417
156.5602
120.4451
98.40424
109.5777
213.289
194.9188
167.2888
182.0687
126.7847
111.5082
100.0517
237.5835
207.8833
183.6607
168.2458
123.5566
111.3942
98.03068
184.8013
182.9296
106.3805
178.2293
138.0411
161.7533
94.86332
141.0367
116.4226
145.9541
89.67487
151.8159
98.30101
89.9531
148.9794
111.0941
139.4098
144.576
94.45802
157.4038
91.79716
83.31665
138.1356
137.5809
132.8458
85.75779
85.77381
134.8962
122.7709
228.1443
205.0742
193.177
171.835
110.5058
113.2298
204.9361
188.4444
186.2863
97.96712
132.6862
104.1647
111.84
173.2202
196.763
182.3398
184.6185
97.47386
137.435
98.23887
104.4837
188.847
190.3684
181.0355
232.3715
323.3284
314.3097
277.424
146.2698
195.2311
135.5336
204.8105
188.3231
135.8547
254.9673
233.6523
203.6656
138.4918
236.9043
111.6355
249.2119
371.2407
175.1185
334.3289
233.761
365.7627
165.5051
231.7253
140.824
221.8138
145.3031
216.6393
137.1311
224.1196
131.9929
213.5407
121.3167
211.7586
124.3463
224.0872
118.3097
210.7558
117.8679
217.9896
112.7903
202.4318
264.5848
231.2783
267.4455
213.5798
156.5064
216.3422
150.912
190.3685
112.5852
128.9749
179.4222
189.1903
115.3082
185.749
143.1702
105.0849
186.7094
107.8393
88.61597
176.5163
98.38155
154.7396
84.22278
141.8323
78.41513
151.6152
116.9167
194.6571
111.5597
205.1823
105.5992
233.9817
186.58
191.8256
243.1394
168.7121
153.2665
84.45108
102.3103
170.4625
219.0943
200.0656
82.13696
154.8024
100.9531
164.9355
207.8946
82.21896
135.3006
155.0899
219.6435
217.9327
127.4245
159.0897
195.9587
221.1317
184.1211
115.6211
99.77105
149.1124
197.5141
98.15536
187.1572
203.7734
110.5158
