count_X36,count_X27,count_X30,count_X41,mean_X36,mean_X27,mean_X30,mean_X41,std_X36,std_X27,std_X30,std_X41,min_X36,min_X27,min_X30,min_X41,25%_X36,25%_X27,25%_X30,25%_X41,50%_X36,50%_X27,50%_X30,50%_X41,75%_X36,75%_X27,75%_X30,75%_X41,max_X36,max_X27,max_X30,max_X41
18.0,18.0,18.0,18.0,0.0,4.2,0.4600000000000001,0.05000000000000001,0.0,0.0,5.712050337475533e-17,7.140062921844417e-18,0.0,4.2,0.46,0.05,0.0,4.2,0.46,0.05,0.0,4.2,0.46,0.05,0.0,4.2,0.46,0.05,0.0,4.2,0.46,0.05
22.0,22.0,22.0,22.0,0.0,4.400000000000002,0.29,0.020000000000000004,0.0,1.818159190204792e-15,0.0,3.551092168368734e-18,0.0,4.4,0.29,0.02,0.0,4.4,0.29,0.02,0.0,4.4,0.29,0.02,0.0,4.4,0.29,0.02,0.0,4.4,0.29,0.02
16.0,16.0,16.0,16.0,0.01875,6.824999999999999,0.96375,0.03,0.015,2.4999999999999996,0.315,0.0,0.0,3.7,0.57,0.03,0.0,3.7,0.57,0.03,0.03,8.7,1.2,0.03,0.03,8.7,1.2,0.03,0.03,8.7,1.2,0.03
24.0,24.0,24.0,24.0,0.01625,6.408333333333334,0.9112499999999999,0.03,0.015269321331121546,2.5448868885202574,0.3206557479535525,0.0,0.0,3.7,0.57,0.03,0.0,3.7,0.57,0.03,0.03,8.7,1.2,0.03,0.03,8.7,1.2,0.03,0.03,8.7,1.2,0.03
19.0,19.0,19.0,19.0,0.01578947368421053,6.3315789473684205,0.901578947368421,0.030000000000000002,0.01538967528127731,2.5649458802128846,0.3231831809068235,3.564517895530149e-18,0.0,3.7,0.57,0.03,0.0,3.7,0.57,0.03,0.03,8.7,1.2,0.03,0.03,8.7,1.2,0.03,0.03,8.7,1.2,0.03
18.0,18.0,18.0,18.0,0.01833333333333333,6.7555555555555555,0.9549999999999998,0.030000000000000002,0.015048939771136506,2.508156628522751,0.3160277351938666,3.5700314609222084e-18,0.0,3.7,0.57,0.03,0.0,3.7,0.57,0.03,0.03,8.7,1.2,0.03,0.03,8.7,1.2,0.03,0.03,8.7,1.2,0.03
14.0,14.0,14.0,14.0,0.005714285714285714,6.014285714285713,1.9142857142857144,0.16,0.005135525910130954,3.338091841585121,0.10271051820261909,0.10784604411275005,0.0,2.3,1.8,0.04,0.0,2.3,1.8,0.04,0.01,8.8,2.0,0.25,0.01,8.8,2.0,0.25,0.01,8.8,2.0,0.25
25.0,25.0,25.0,25.0,0.0052,5.6800000000000015,1.9039999999999997,0.14920000000000003,0.005099019513592784,3.31436268383531,0.10198039027185567,0.10707940978544847,0.0,2.3,1.8,0.04,0.0,2.3,1.8,0.04,0.01,8.8,2.0,0.25,0.01,8.8,2.0,0.25,0.01,8.8,2.0,0.25
20.0,20.0,20.0,20.0,0.0,3.1000000000000005,0.2800000000000001,0.04000000000000001,0.0,4.556259157007654e-16,5.695323946259567e-17,7.119154932824459e-18,0.0,3.1,0.28,0.04,0.0,3.1,0.28,0.04,0.0,3.1,0.28,0.04,0.0,3.1,0.28,0.04,0.0,3.1,0.28,0.04
19.0,19.0,19.0,19.0,0.17421052631578948,8.03157894736842,5.045263157894737,4.0610526315789475,0.005072572735017871,1.1666917290541126,3.9210987241688224,3.5406557690424814,0.17,6.7,0.57,0.02,0.17,6.7,0.57,0.02,0.17,9.0,8.3,7.0,0.18,9.0,8.3,7.0,0.18,9.0,8.3,7.0
32.0,32.0,32.0,32.0,0.0021875,2.69375,0.40031249999999996,0.0234375,0.004200134406451545,0.898004059190481,0.14963362514553186,0.012600403219354635,0.0,1.5,0.24,0.0,0.0,2.3,0.24,0.03,0.0,2.3,0.36,0.03,0.0,3.7,0.57,0.03,0.01,3.7,0.57,0.03
19.0,19.0,19.0,19.0,0.0,5.610526315789474,0.8015789473684212,0.03578947368421054,0.0,1.6739490025559005,0.20290290940071523,0.005072572735017882,0.0,3.7,0.57,0.03,0.0,3.7,0.57,0.03,0.0,7.0,0.97,0.04,0.0,7.0,0.97,0.04,0.0,7.0,0.97,0.04
20.0,20.0,20.0,20.0,0.004999999999999999,2.6000000000000005,0.46499999999999997,0.015000000000000003,0.00512989176042577,1.1285761872936697,0.10772772696894117,0.01538967528127731,0.0,1.5,0.36,0.0,0.0,1.5,0.36,0.0,0.005,2.6,0.46499999999999997,0.015,0.01,3.7,0.57,0.03,0.01,3.7,0.57,0.03
15.0,15.0,15.0,15.0,0.004,2.8200000000000007,0.4860000000000001,0.018000000000000002,0.0050709255283711,1.115603616241642,0.10648943609579307,0.015212776585113299,0.0,1.5,0.36,0.0,0.0,1.5,0.36,0.0,0.0,3.7,0.57,0.03,0.01,3.7,0.57,0.03,0.01,3.7,0.57,0.03
37.0,37.0,37.0,37.0,0.08054054054054054,6.556756756756756,2.36027027027027,1.5375675675675675,0.08862987789258912,1.8525568728022808,3.167524871854018,2.908593976291452,0.0,3.7,0.57,0.02,0.0,6.7,0.57,0.03,0.0,7.0,0.97,0.04,0.17,7.0,0.97,0.04,0.18,9.0,8.3,7.0
35.0,35.0,35.0,35.0,0.10485714285714287,7.862857142857142,7.9714285714285715,2.2297142857142855,0.08695405915402307,0.9042662655388602,5.1535551080880895,3.2766890442086463,0.0,6.7,0.57,0.02,0.0,6.7,0.57,0.02,0.17,7.8,8.3,0.06,0.18,9.0,13.0,7.0,0.18,9.0,13.0,7.0
15.0,15.0,15.0,15.0,0.005333333333333333,2.526666666666667,0.45800000000000013,0.014,0.0051639777949432225,1.136075114887509,0.10844353369380766,0.01549193338482967,0.0,1.5,0.36,0.0,0.0,1.5,0.36,0.0,0.01,1.5,0.36,0.0,0.01,3.7,0.57,0.03,0.01,3.7,0.57,0.03
11.0,11.0,11.0,11.0,0.17363636363636362,8.163636363636364,5.489090909090908,4.461818181818182,0.005045249791095121,1.1604074519518797,3.899978088516536,3.521584354184401,0.17,6.7,0.57,0.02,0.17,6.7,0.57,0.02,0.17,9.0,8.3,7.0,0.18,9.0,8.3,7.0,0.18,9.0,8.3,7.0
13.0,13.0,13.0,13.0,0.17461538461538462,7.93846153846154,4.7323076923076925,3.7784615384615394,0.005188745216627698,1.193411399824373,4.010900052453218,3.6217441612061405,0.17,6.7,0.57,0.02,0.17,6.7,0.57,0.02,0.17,9.0,8.3,7.0,0.18,9.0,8.3,7.0,0.18,9.0,8.3,7.0
25.0,25.0,25.0,25.0,0.1208,4.328,1.8695999999999997,0.2808,0.1070794097854485,0.5608921464952066,1.5195078150506498,0.020396078054371127,0.02,3.8,0.32,0.26,0.02,3.8,0.32,0.26,0.02,3.8,3.3,0.3,0.23,4.9,3.3,0.3,0.23,4.9,3.3,0.3
11.0,11.0,11.0,11.0,0.13454545454545455,4.3999999999999995,1.6745454545454543,0.27818181818181814,0.10966892325208964,0.5744562646538032,1.5562542442439387,0.02088931871468373,0.02,3.8,0.32,0.26,0.02,3.8,0.32,0.26,0.23,4.9,0.32,0.26,0.23,4.9,3.3,0.3,0.23,4.9,3.3,0.3
25.0,25.0,25.0,25.0,0.0308,3.5439999999999996,0.7099999999999999,0.04,0.020396078054371138,2.3965391713886084,0.2549509756796392,0.0,0.01,1.1,0.45,0.04,0.01,1.1,0.45,0.04,0.05,5.8,0.95,0.04,0.05,5.8,0.95,0.04,0.05,5.8,0.95,0.04
23.0,23.0,23.0,23.0,0.03086956521739131,3.552173913043478,0.7108695652173911,0.040000000000000015,0.020430156738209967,2.4005434167396706,0.2553769592276246,1.4189687151543036e-17,0.01,1.1,0.45,0.04,0.01,1.1,0.45,0.04,0.05,5.8,0.95,0.04,0.05,5.8,0.95,0.04,0.05,5.8,0.95,0.04
9.0,9.0,9.0,9.0,0.027777777777777776,3.188888888888889,0.6722222222222222,0.04,0.021081851067789197,2.4771175004652304,0.2635231383473649,0.0,0.01,1.1,0.45,0.04,0.01,1.1,0.45,0.04,0.01,1.1,0.45,0.04,0.05,5.8,0.95,0.04,0.05,5.8,0.95,0.04
25.0,25.0,25.0,25.0,0.0308,3.5439999999999996,0.7099999999999999,0.04,0.020396078054371138,2.396539171388609,0.2549509756796392,0.0,0.01,1.1,0.45,0.04,0.01,1.1,0.45,0.04,0.05,5.8,0.95,0.04,0.05,5.8,0.95,0.04,0.05,5.8,0.95,0.04
